Emotion,Sentence
Happy,"সাত্ত্বিক বললেই বলা হয় যে আমি সাধারণত রিভিউ লিখি না, কারণ আমি একজন গুরুত্বপূর্ণ মতিপাক্ষ এবং আমার সমালোচনার স্তর খুবই উচ্চ। কিন্তু সত্যিই বলছি যে আমি অন্য কিছুর চেয়ে আপনার রেস্টুরেন্টটি বেশি পছন্দ করি। আপনার কোরিয়ান বারবিকিউ, জামাইকান বারবিকিউ অসাধারণ। যেখানেই যাই, অফিস, বন্ধুদের বাড়ি, ব্যক্তিগত গাড়ি, আমি সেই খাবারগুলি ফুডপান্ডা বা আমার ড্রাইভারের মাধ্যমে অর্ডার করি। আমি উত্তরা বাসবাস করি এবং আশা করি একদিন তারা এখানে শাখা খুলবেন। 10/10 খাবারের মান"
Sad,"খাবারটি ভালো ছিল। পাস্তা খারাপ ছিল। কিন্তু কর্মচারীদের সংখ্যা অত্যন্ত কম। ব্যবস্থা করতে পারেন না। সুমিশ্রিতা নয় সেবা নিয়ে। শুক্রবারে সেখানে যান না। প্রায় কোনও কর্মী নেই আপনার প্রয়োজনে চেক করতে। খুব খারাপ, খুবই খারাপ। আপনি অনেক টাকা পরিশোধ করেন, কিন্তু আপনি যতই পরিষেবা পান না। গ্রাহকের প্রতি সেবার দিকে অনেক উন্নতির প্রয়োজন"
Happy,এটি আমার প্রিয় জায়গা। বেস্ট! তাদের ম্যাশড পটেটো কেউ হারাতে পারবেন না।
Happy,"স্থানটি এন্ট্রি, নিরাপত্তা সিস্টেম উন্নত করেছে। পার্কিং স্থান রয়েছে। ভালো পরিবেশ রয়েছে। মূল্য কিছুটা বেশি, কিন্তু শান্ত রাত্রির জন্য এটি সম্পূর্ণ। খাবার পরিবেশন করার জন্য কিছু বেশি সময় লাগে। কিন্তু খাবার মানুষ মনোনয়ন দেয়, যা আমি উল্লেখ করতে হবে, যা খুব ভালো। আপনার গ্রাহকদের স্বাগত জানান, যা আমি উল্লেখ করতে হবে, যা সুন্দর।"
Sad,পহেলা বৈশাখে প্যাকেজ খাবার খুব ভালো এবং সুস্বাদু ছিল। তবে এই প্যাকেজের মূল্যটি সময়ের সাথে মিল নেই।
Sad,"এই স্থানে পিজা অর্ডার করা উচিত নয়। এটি গড় মানদণ্ডের নীচে ছিল। ঘরে তৈরি পিজার চেয়ে এটি অনেক ভালো। কোড F 14: তারা 20 টি লিখে আকর্ষণ করে, কিন্তু আপনাকে বলে দেয় না যে এটি শুধুমাত্র একটি পূর্ণ চিকেন। কোড Gc10: জামাইকান চিকেন ভালো ছিল। সুপটিও ভালো ছিল এবং রুচিতের চিহ্ন ছিল। সুন্দর জায়গা কিন্তু জটিল। পার্কিং সাধারণত সমস্যা হয়। নিরাপত্তা সংরক্ষকর্মীরা বাড়ি নিয়ে খুব আগ্রহী, কিন্তু গাড়ি পার্ক করার জন্য কোনও ধারণা নেই।"
Disgust,আমি আমার শিশুর জন্য কিড়স মিল অর্ডার করেছিলাম। এবং এই চিকেনটি পুড়োবাসার মতো গন্ধ ছিল... ইউক!!.. আর এটি এটি আমার জন্য দ্বিতীয় সময় ছিল যখন আমি তোমাদের এমনভাবে খেতেছিলাম... তারা অন্যজনের কাছাকাছি। খুব অপ্রত্যাশিত...
Disgust,"খাবারের মান ঘৃণ্য। মূল্য... ওহ, একটি পূর্ণ ভোজনের জন্য ব্যাংক ঋণের প্রয়োজন নেই।"
Happy,সুস্বাদু খাবার এবং অসাধারণ আইটেম সরবরাহ করে। খুব ভালো।
Happy,আপনার ডিজাইন কাজ এবং ক্যাম্পেইনগুলি যোগাযোগমূলক নয়। এগুলি হ্যান্ডেল করতে পেশাদার মানুষ থাকা উচিত... আপনার ফেসবুক পেজটি একটি আন্তর্জাতিক ব্র্যান্ড প্রতিষ্ঠানকে প্রতিনিধিত্ব করছে না বলতে বিরক্ত... এবং এখন আর আপনারা তেলজল ব্যবহার করেন না!!
Surprise,জামাইকান চিকেন জন্য আমি পার্থক্যবিন্যাস করবো এখানে আমার সময়ের সময় :) #শহরের_সেরা
Happy,সুন্দর খাবার এবং পরিবেশ। আমি খুব ভালোবাসি এই স্থানটি।
Happy,এটি পরিবারের জন্য খুব ভালো স্থান। বিশেষত খেলার মাঠ এবং খাবারটি সত্যিই অসাধারণ এবং সুস্বাদু।
Happy,খাবারের স্বাদ এবং পরিবেশ অসাধারণ। আবার যাওয়ার ইচ্ছে রয়েছে।
Surprise,শহরের সেরা রেস্টুরেন্টগুলির মধ্যে একটি। ... এটা আমি বলতে পারি।
Sad,খারাপ পরিষেবা। ওয়েটাররা খুব অশিক্ষিত। আর কখনও এখানে ফিরে আসব না।
Happy,জামাইকান বারবিকিউ খুব আদ্যতনবাদ।... সুন্দর পরিবেশ... বিবিকিউকে ধন্যবাদ।
Happy,পেনে মাশরুম সুপ এবং কোরিয়ান চারব্রইলড চিকেন চেষ্টা করেছিলাম এবং এটি আমার জন্য একটি নতুন অভিজ্ঞতা ছিল......... একজন ফুডি হিসাবে আমি আবার সেখানে যাত্রা করার অপেক্ষায় আছি।
Happy,সুন্দর জায়গা সুস্বাদু খাবারের সাথে। :)
Happy,"আমরা যা নিয়েছিলাম সবকিছু সুন্দর ছিল। মূল্যের জন্য 4 স্টার দেওয়া হয়েছে, যা একটু বেশি।"
Sad,"গত দিন গুলশান শাখায় গিয়েছিলাম। আমি সাধারণত তাদের খাবারটি ভালবাসি কিন্তু গতকালের পরিষেবা সবচেয়ে খারাপ ছিল! আমার Scb ক্রেডিট কার্ডে 10% ছাড় পাচ্ছি না যেহেতু আমার বিল টাকা ৩,০০০ এর ওপরে! বিজ্ঞাপনমূলক কুপন প্রদানের জন্য কয়েকবার অনুরোধ করতে হয়েছিল। খুব বেশি নিরাপদ হয়েছিলাম!"
Happy,"ভাল খাবার, উষ্ট সেবা। ওয়েটারদের আরও প্রশিক্ষিত হতে হবে। শৌচাগারটি পরিষ্কার হতে হবে।"
Happy,আমি পাস্তা খেয়েছিলাম এবং মনে হচ্ছে চিংড়িতে কিছু সমস্যা ছিল। পরে খাবার বমি হয়েছিলাম এবং অসুস্থ হয়ে যায়েছিলাম। আমি আরোও বাটার চাইলাম যাতে খাবারের ওপর পরিবেশন করতে পারি কিন্তু তাদের পাওয়া যায়নি। খেলার এলাকা এবং গুলিদের বলুন সুন্দর ছিল।
Sad,গত সময় খাবারের টেস্ট খুব খারাপ ছিল। আমি প্রায়ই বিবিকিউর নিয়মিত গ্রাহক ছিলাম কিন্তু আমি মনে করছি যে খাবারের টেস্ট ধীরে ধীরে নিম্নমানের হচ্ছে... আমি নিরাপদ হয়ে গেছি...
Sad,"পিজ্জায় কেনা হয়েছিল কিন্তু সেটি ভুয়া ছিল। আমি যেখানে যাই পিজ্জাতে নিজেই বানাতে পারি, তাদের পিজ্জার চেয়ে ভাল অপেক্ষা করেছিলাম।"
Disgust,আজ রাতে ঢানমন্ডি শাখায় খাবার খায়েছিলাম .... খাবারটি ভাল ছিল কিন্তু আমার মনে হচ্ছে ওয়েটারদের আচরণ এবং আদর্শ সংগঠনের ব্যাপারগুলি নিয়ে কিছু প্রশ্ন আছে। একটি গাড়ি পার্ক করতে চায় তবে কেবল গাড়ি পার্ক করার জন্য সম্ভব নয়। সুরক্ষা গার্ডদের টিপস জানতে আগ্রহী হয় কিন্তু পার্ক করার জন্য তাদের কম ধারণা আছে।
Happy,"আমি গুলশান ২ তে বিবিকিউর বহুবার গিয়েছি এবং প্রতিবারে খুবই আনন্দিত হয়েছি। পরিবেশটি সুন্দর, ওয়েটারদের বন্ধুসুলভ, টেবিলগুলি পরিষ্কার এবং খাবার সুস্বাদু। অনেক বিবর্জনার বর্ণনা ছাড়াই, এখানে দুটি খাবার প্রশংসা করা যায়, পেনে ছত্রভাজির সূপ এবং কোরিয়ান চারবর্ন চিকেন। আপনি আগে থেকেই বিবিকিউরে গিয়েছেন বা এটা আপনার প্রথম সময়, আপনি এই দুটি আইটেমে নিরাপদ থাকবেন।"
Happy,স্বাদ মানের মাধ্যমে। সেরা পর্যায়ে পাঠশালায়।
Happy,জামাইকান গ্রিলড প্ল্যাটারটি সত্যিই ভাল।
Surprise,খাবারটি অসাধারণ!
Happy,"Bbq স্বাদ, সেবা এবং পরিবেশের জন্য সহজেই ঢাকার শীর্ষ রেস্টুরেন্টগুলির মধ্যে অবিশ্বাস্য স্থানে অন্যান্য। নিশ্চিতভাবে আমার শীর্ষ চলার স্থানগুলির মধ্যে একটি যাত্রীসন্ধানের জন্য।"
Happy,"Jamaican গ্রিল প্ল্যাটারদো অসাধারণ। চিকেনটি অত্যন্ত মসৃণ এবং পাশাপাশি সাইডগুলি খুব তাজা। নিশ্চিতভাবে Bbq ঢাকার শ্রেষ্ঠ রেস্টুরেন্টগুলির মধ্যে একটি। এবং যদি তোমাকে এটা ভালো লাগে না, তাহলে তুমি সম্ভবত জামাখাওয়ার জন্য খাদ্য খাও। হাহা, আমি আবার আসি! স্টাফগুলি খুবই আত্মসমর্পণশীল।"
Happy,খাদ্যের জন্য একটি অসাধারণ জায়গা। আমি খুবই পছন্দ করেছি কোরিয়ান চারবইল্ড চিকেন এবং প্যারিস উইংস। সেবা অনেক ভালো ছিল।
Happy,"হাহা হয়, এখানে পাঠ পড়া, জীবনের গল্পগুলি পড়তে পছন্দ করি। খাদ্য অসাধারণ ছিল।"
Happy,খাদ্যটি অত্যন্ত আবেগজনক। প্রতিবার আমি এই Bbq গ্রিল স্পেশাল চিকেন খাওতে এখানে যাই।
Angry,"আমি বুঝতে পারি না কেন তুমি সঠিকভাবে তোমার গ্রাহকদের তুচ্ছভাবে তোমার অফারগুলি পরিচিত করান না।  আপনি পূর্ববর্তী নোটিশ ছাড়াই বলেন যে অফার শেষ হয়ে গেছে। এটি কি তোমার গ্রাহকদের পরিবেশনা করার উপায়? তোমাকে কি গুরুত্বপূর্ণ? গ্রাহক নাকি লাভ? অবাকিত... সত্যিই এখনই আমি কিছু অন্যান্য পর্যালোচনা দেখেছি, আমি দেখেছি তুমি অন্যান্য অতিথিদের সাথে একই করেছ।"
Angry,"সেট মেনু খুব ভালো ছিল, কিন্তু পানীয় খুব ঘৃণিত ছিল।"
Angry,"পরিবেশ সুন্দর, খাদ্য এবং দাম খারাপ। হট ব্রেডের মত হলো কাইলে বার্গার।"
Happy,এটা অত্যন্ত আনন্দদায়ক।
Angry,এটা অত্যন্ত ক্রুদ্ধকর।
Fearful,এটা অত্যন্ত ভয়ঙ্কর।
Sad,এটা অত্যন্ত দুঃখজনক।
Happy,এটা অত্যন্ত শান্তিপূর্ণ।
Disgust,এটা অত্যন্ত ঘৃণাসম্পন্ন।
Surprise,এটা অত্যন্ত আশ্চর্যজনক।
Happy,এটা অত্যন্ত নিরপেক্ষ।
Happy,এই পোস্টটি পড়ে আমি খুশি হয়ে উঠছি! সেটা আমার মন উজ্জ্বল করে দিচ্ছে।
Angry,আমি আপনার সঙ্গে একমত নই! এই পোস্টটি আমার ক্রোধের কারণে।
Fearful,আমি এই পোস্টটি দেখে খুব ভয় পাচ্ছি! আমার হৃদয় কেন বাড়িয়ে দিচ্ছে এমন বিষয়ে?
Sad,আমার মন দুঃখিত হয়ে গেল পোস্টটি পড়ে। কেন এত দুঃখজনক কিছু লিখছেন?
Happy,এই পোস্টটি দেখে আমি শান্তি অনুভব করছি। সেটা আমার মনে প্রশান্তি দেয়।
Disgust,আমি মনে করি এই মন্তব্যটি ঘৃণাসম্পন্ন এবং অপছন্দজনক। কেন এমন কিছু লিখতে পারে?
Surprise,ওহো! আমি চমক পেলাম এই পোস্টটি দেখে! সেটা আমার জন্য অত্যন্ত আশ্চর্য়জনক।
Happy,আমি মনে করি এই পোস্টটি সাধারণ এবং স্বাভাবিক। কিছুটা সাধারণ।
Happy,আমি এই পোস্টটির সাথে খুব আনন্দিত! এটা আমার চেহারায় হাসি এনে দিচ্ছে।
Angry,আমি তুমার সাথে খুব রাগ করছি এই পোস্টটির জন্য! তুমি কেন এমন কিছু লিখতে পারে?
Fearful,আমি এই পোস্টটি দেখে খুব ভয় পাচ্ছি! সেটা আমার চেহারায় ভয়ংকর ছাপ দেয়।
Sad,আমি এই পোস্টটির কারণে অনেক দুঃখিত হয়ে উঠছি। এর জন্য আমার হৃদয় ব্যথিত হয়ে গেল।
Happy,এই পোস্টটি দেখে আমি শান্তি সম্পর্কে ভাবতে পাচ্ছি। সেটা আমার মনে শান্তি এনে দিচ্ছে।
Disgust,আমি এই মন্তব্যটি ঘৃণাসম্পন্ন এবং অপছন্দজনক মনে করছি। এত ঘৃণা জনক কিছু লিখতে কেমন পারেন?
Surprise,আমি অত্যন্ত আশ্চর্য়চকিত হয়ে গেলাম এই পোস্টটি দেখে! এটা স্বাভাবিকের বেশিরভাগের থেকে অনন্য ছিল।
Happy,আমি মনে করি এই পোস্টটি সাধারণ এবং স্বাভাবিক। এর কোনও বিশেষত্ব নেই।
Angry,এই পোস্টটি পড়ে আমার ক্রোধ উঠে এসেছে! এটা আমার মনকে আগুনে জ্বলানোর মতো করেছে।
Sad,আমি এই পোস্টটি দেখে খুব দুঃখিত হয়ে উঠছি। সেটা আমার হৃদয়ে আঘাত করে দিয়েছে।
Fearful,আমি পোস্টটি দেখে খুব ভয় পাচ্ছি! আমার মনে মনোয়ন্ত্রিত ভয়ের ঝটপট ছড়িয়ে পড়ছে।
Happy,এই পোস্টটি দেখে আমি শান্তির অনুভব করছি। সেটা আমার মনে প্রশান্তি ও স্থিরতা দেয়।
Disgust,আমি মনে করি এই মন্তব্যটি ঘৃণাসম্পন্ন এবং অপছন্দজনক। কেন এমন আশ্চর্যজনক কিছু লিখতে হয়?
Surprise,ওহো! আমি চমক পেলাম এই পোস্টটি দেখে! এটা আমার জন্য অত্যন্ত আশ্চর্য়জনক ও বিপর্য়য়কর।
Happy,আমি মনে করি এই পোস্টটি সাধারণ এবং স্বাভাবিক। এটা কোনও বিশেষ প্রতিক্রিয়ার মানে নেই।
Angry,এই পোস্টটি পড়ে আমার রাগ উঠে এসেছে! এর জন্য আমি আপনাকে নিন্দা করছি।
Sad,আমি এই পোস্টটির কারণে খুব দুঃখিত হয়ে উঠছি। সেটা আমার মনে কষ্ট ও হতানিমুখী করেছে।
Fearful,আমি এই পোস্টটি দেখে ভয় পাচ্ছি! আমার মনে ভীষণ ভয়ের আবেশ ছড়িয়ে পড়ছে।
Happy,এই পোস্টটি দেখে আমি শান্তি অনুভব করছি। সেটা আমার মনে প্রশান্তি ও স্থিরতা দিয়েছে।
Disgust,আমি মনে করি এই মন্তব্যটি ঘৃণাসম্পন্ন এবং অপছন্দজনক। কেন এমন বিপর্য়য়কর কিছু লিখছেন?
Surprise,ওহো! আমি অত্যন্ত বিস্মিত হয়ে গেলাম এই পোস্টটি দেখে! এটা স্বাভাবিকের বেশিরভাগের থেকে ভিন্ন।
Happy,আমি মনে করি এই পোস্টটি সাধারণ এবং স্বাভাবিক। এটা কোনও বিশেষ প্রতিক্রিয়ার মানে নেই।
Angry,এই পোস্টটি দেখে আমার রাগ উঠে এসেছে! আমি এই মন্তব্যটি কঠিনভাবে প্রতিষ্ঠা করছি।
Sad,আমি এই পোস্টটির জন্য খুব দুঃখিত হয়ে উঠছি। এটা আমার মনে অনেক কষ্ট এনে দিয়েছে।
Fearful,আমি এই পোস্টটি দেখে অত্যন্ত ভয় পাচ্ছি! আমার মনে ভীষণ ভয়ের আবেশ ছড়িয়ে পড়ছে।
Happy,এই পোস্টটি দেখে আমি সান্ত্বনা অনুভব করছি। সেটা আমার মনে শান্তি ও স্থিরতা দিয়েছে।
Disgust,আমি মনে করি এই মন্তব্যটি ঘৃণাসম্পন্ন এবং অপছন্দজনক। কেন এমন বিপর্য়য়কর মন্তব্য করলেন?
Surprise,ওহো! আমি চমক পেলাম এই পোস্টটি দেখে! এটা স্বাভাবিকের বেশিরভাগের থেকে অনন্য ছিল।
Happy,আমি মনে করি এই পোস্টটি সাধারণ এবং স্বাভাবিক। এর কোনও বিশেষত্ব নেই।
Angry,আমি এই পোস্টটির কারণে খুব ক্রোধিত হয়ে উঠছি! এর জন্য আমি আপনাকে নিন্দা করছি।
Sad,আমি এই পোস্টটির জন্য খুব দুঃখিত হয়ে উঠছি। এটা আমার মনে ব্যথা ও বিপর্যয়কর করেছে।
Fearful,আমি এই পোস্টটি দেখে ভয় পাচ্ছি! আমার মনে ভীষণ ভয়ের আবেশ ছড়িয়ে পড়ছে।
Happy,এই পোস্টটি দেখে আমি শান্তি অনুভব করছি। সেটা আমার মনে প্রশান্তি এনে দিয়েছে।
Disgust,আমি মনে করি এই মন্তব্যটি ঘৃণাসম্পন্ন এবং অপছন্দজনক। কেন এমন ঘৃণা জনক কিছু লিখতে হয়?
Surprise,ওহো! আমি চমক পেলাম এই পোস্টটি দেখে! এটা স্বাভাবিকের বেশিরভাগের থেকে ভিন্ন ছিল।
Happy,আমি মনে করি এই পোস্টটি সাধারণ এবং স্বাভাবিক। এর কোনও বিশেষত্ব নেই।
Angry,আমি এই পোস্টটির জন্য খুব ক্রোধিত হয়ে উঠছি! এটা আমার মনকে অনুস্পষ্ট করেছে।
Sad,আমি এই পোস্টটি দেখে খুব দুঃখিত হয়ে উঠছি। সেটা আমার মনে আনন্দ এনে দিয়েছে।
Fearful,আমি এই পোস্টটি দেখে ভয় পাচ্ছি! আমার মনে ভীষণ ভয়ের আবেশ ছড়িয়ে পড়ছে।
Happy,এই পোস্টটি দেখে আমি শান্তি অনুভব করছি। সেটা আমার মনে সান্ত্বনা দিয়েছে।
Disgust,আমি মনে করি এই মন্তব্যটি ঘৃণাসম্পন্ন এবং অপছন্দজনক। কেন এমন ঘৃণা জনক কিছু লিখছেন?
Surprise,ওহো! আমি অত্যন্ত বিস্মিত হয়ে গেলাম এই পোস্টটি দেখে! এটা সাধারণ থেকে বিপর্য়য়কর।
Happy,আপনার পোস্টটি দেখে আমি অত্যন্ত খুশি হয়ে গেলাম। সুন্দর একটি অভিজ্ঞতা!
Angry,আমি চমকে গেলাম আপনার মন্তব্য দেখে। কিভাবে আপনি এই জিনিসটি বলতে পারেন?
Fearful,আমি বিপদে আছি আপনার পোস্টের বিষয়ে চিন্তিত হয়ে। আশা করি সব ঠিক থাকবে।
Sad,আমি মনে করি আপনার পোস্টটি দেখে আমার মনটি দুঃখিত হয়ে গেল। আপনার কথাগুলি আমাকে আরাম দিয়ে নিয়েছে।
Happy,আপনার পোস্টটি দেখে আমি একটি শান্তিময় অনুভব করছি। আপনি সম্পূর্ণরূপে সম্মত করেছেন।
Disgust,আপনার মন্তব্যটি পড়ে আমি ঘৃণা ওঠে সেটাকে। কেমন একটা ঘৃণাসম্পন্ন মন্তব্য!
Surprise,ওহো! আমি বিস্মিত হয়ে গেলাম আপনার পোস্টটি দেখে। এটা অদ্ভুত একটি অভিজ্ঞতা!
Happy,আপনার পোস্টটি পড়ে আমি একটি মাঝামাঝি অনুভব করছি। কিছু খাস না মনে হচ্ছে।
Happy,ভালো লাগলো আপনার পোস্টটি দেখে! খুশির একটি মুহূর্তে পড়ে গেল।
Angry,আমি আপনার মন্তব্যের সাথে একমত নই। আপনার মন্তব্যটি মধ্যেমেঘার মতো!
Fearful,আমি আপনার পোস্টটি পড়ে আমার মনে ভয় উঠছে। কিছু ভয়ঙ্কর ঘটনা পেছনে থাকতে পারে।
Sad,আমি একটি মন্তব্য দেখে দুঃখিত হয়ে গেলাম। এটা আমার মনটি বিক্ষিপ্ত করে দিয়েছে।
Happy,আপনার পোস্টটি দেখে আমি একটি শান্তিময় অনুভব করছি। এটা স্থির একটি বল মন্তব্য।
Disgust,আমি ঘৃণা করেছি আপনার মন্তব্যটি পড়ে। সেই স্বাদ এই মন্তব্যে আছে।
Surprise,ওহো! আমি অত্যন্ত বিস্মিত হয়ে গেলাম আপনার পোস্টটি দেখে। এটা সুন্দর অভিজ্ঞতা!
Happy,আপনার পোস্টটি দেখে আমি মাঝামাঝি অনুভব করছি। কিছুটা ভালো মনে হচ্ছে।
Happy,হাহাহা! খুব সুন্দর পোস্ট! আমি এত খুশি যে আপনার সাথে ভালো আছি।
Angry,আমি ভালো অনুভব করছি না আপনার পোস্ট দেখে। এটা আমার অনিচ্ছাকৃত মন্তব্যের মতো!
Fearful,আমি ভয় পাচ্ছি আপনার পোস্টের প্রতি। কিছু অসুরক্ষিত আছে ভেতরে থাকতে পারে।
Sad,আমি একটি মন্তব্য দেখে কিছুটা বিষণ্ণ হয়ে গেলাম। এটা আমার মনটি অকল্যানিত করে দিয়েছে।
Happy,আপনার পোস্টটি দেখে আমি একটি শান্তিময় অনুভব করছি। এটা স্থির একটি মন্তব্য।
Disgust,আমি ঘৃণা করেছি আপনার মন্তব্যটি দেখে। এটি একটি ঘৃণাসম্পন্ন মন্তব্য।
Surprise,ওহো! আমি অত্যন্ত বিস্মিত হয়ে গেলাম আপনার পোস্টটি দেখে। সুন্দর একটি অভিজ্ঞতা!
Happy,আপনার পোস্টটি দেখে আমি মাঝামাঝি অনুভব করছি। এটা কিছুটা সাধারণ।
Happy,আমি আনন্দিত হয়ে গেলাম আপনার পোস্টটি দেখে! ধন্যবাদ আপনাকে এমন একটি সাহসিক অভিজ্ঞতা দেওয়ার জন্য।
Angry,আপনার মন্তব্যে আমি চোখের মতো জ্বলছি। আপনি একজন খারাপ মানুষ!
Fearful,আমি আপনার পোস্টটি পড়ে আমার চোখের সামনে ভয়ে উঠছে। আশা করি সব ঠিক থাকবে।
Sad,আমি মনে করি আপনার পোস্টটি দেখে আমার মনটি দুঃখিত হয়ে গেল। কেমন একটা দুঃখদ মন্তব্য!
Happy,আপনার পোস্টটি দেখে আমি শান্তিময় অনুভব করছি। সেটা একটি ঠিকঠাক মন্তব্য।
Disgust,আপনার মন্তব্যটি পড়ে আমি ঘৃণা ওঠে সেটাকে। কিভাবে আপনি এই জিনিসটি বলতে পারেন?
Surprise,ওহো! আমি বিস্মিত হয়ে গেলাম আপনার পোস্টটি দেখে। এটা অদ্ভুত একটি অভিজ্ঞতা!
Happy,আপনার পোস্টটি দেখে আমি একটি নিরপেক্ষ মনে করছি। সেটা কিছুটা সাধারণ।
Happy,আপনার পোস্টটি পড়ে আমি অত্যন্ত খুশি হয়ে গেলাম। এটা সুন্দর একটি অভিজ্ঞতা!
Angry,আমি চমকে গেলাম আপনার মন্তব্য দেখে। কিভাবে আপনি এই জিনিসটি বলতে পারেন?
Fearful,আমি বিপদে আছি আপনার পোস্টের বিষয়ে চিন্তিত হয়ে। আশা করি সব ঠিক থাকবে।
Sad,আমি মনে করি আপনার পোস্টটি দেখে আমার মনটি দুঃখিত হয়ে গেল। আপনার কথাগুলি আমাকে আরাম দিয়ে নিয়েছে।
Happy,আপনার পোস্টটি দেখে আমি একটি শান্তিময় অনুভব করছি। আপনি সম্পূর্ণরূপে সম্মত করেছেন।
Disgust,আপনার মন্তব্যটি পড়ে আমি ঘৃণা ওঠে সেটাকে। কেমন একটা ঘৃণাসম্পন্ন মন্তব্য!
Surprise,ওহো! আমি বিস্মিত হয়ে গেলাম আপনার পোস্টটি দেখে। এটা অদ্ভুত একটি অভিজ্ঞতা!
Happy,আপনার পোস্টটি দেখে আমি মাঝামাঝি অনুভব করছি। সেটা কিছুটা সাধারণ।
Angry,এই পোস্টটি পড়ে আমার চোখে লালচ আসছে! কেমন একটি অবহেলিত মন্তব্য!
Fearful,এই মুভিটি দেখলে আমার হাতটি কাঁপছে! এটা অনেক ভীতিজনক ছিল।
Sad,পোস্টটি দেখে আমি বুঝতে পারছি তোমার দুঃখের বিষয়টা। এটা হৃদয়স্পর্শী!
Happy,এই ছবিটি দেখে আমি শান্তির সন্ধান করতে পারছি। এটা সুস্থির মনে করে।
Disgust,আমি মনে করি এই গানটি অস্বাভাবিক এবং ঘৃণাসম্পন্ন। কিভাবে কেউ এই গানটি সুনতে পারে?
Surprise,ওহো! আমি চমক গেলাম এই পোস্টটি দেখে! এটা অদ্ভুত একটি অভিজ্ঞতা!
